P,Q,computed,manually computed,holds
p1n,,{4, 7, 8},{4, 7, 8},YES
p1t,,{6},{6},YES
p1c,,{},{},YES
p2n,,{7},{7},YES
p2t,,{3, 4},{3, 4},YES
p2c,,{6, 8},{6, 8},YES
